,date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
57,2019-12-30,72.37,72.88,73.17,71.31,144238456,289.46,291.52,292.69,285.22,36059614,0.43,0.5935,"Dec 30, 19",0.299109
58,2019-12-31,72.48,73.41,73.42,72.38,100990500,289.93,293.65,293.68,289.52,25247625,0.53,0.7307,"Dec 31, 19",0.30860099999999996
59,2020-01-02,74.06,75.09,75.15,73.8,135647456,296.24,300.35,300.6,295.19,33911864,1.6800000000000002,2.2816,"Jan 2, 20",0.338458
60,2020-01-03,74.29,74.36,75.15,74.13,146535512,297.15,297.43,300.58,296.5,36633878,-0.73,-0.9722000000000001,"Jan 3, 20",0.32544599999999996
61,2020-01-06,73.45,74.95,74.99,73.19,118578576,293.79,299.8,299.96,292.75,29644644,0.59,0.7968000000000001,"Jan 6, 20",0.336007
62,2020-01-07,74.96,74.6,75.23,74.37,111510620,299.84,298.39,300.9,297.48,27877655,-0.35000000000000003,-0.4703,"Jan 7, 20",0.32972399999999996
63,2020-01-08,74.29,75.8,76.11,74.29,132363784,297.16,303.19,304.44,297.16,33090946,1.2,1.6086,"Jan 8, 20",0.351114
64,2020-01-09,76.81,77.41,77.61,76.55,170486168,307.24,309.63,310.43,306.2,42621542,1.6099999999999999,2.1241,"Jan 9, 20",0.37981299999999996
65,2020-01-10,77.65,77.58,78.17,77.06,140869088,310.6,310.33,312.67,308.25,35217272,0.18,0.22610000000000002,"Jan 10, 20",0.382932
66,2020-01-13,77.91,79.24,79.27,77.79,122086888,311.64,316.96,317.07,311.15,30521722,1.6600000000000001,2.1364,"Jan 13, 20",0.41247799999999996
67,2020-01-14,79.18,78.17,79.39,78.04,162613828,316.7,312.68,317.57,312.17,40653457,-1.07,-1.3503,"Jan 14, 20",0.393405
68,2020-01-15,77.96,77.84,78.88,77.39,121923528,311.85,311.34,315.5,309.55,30480882,-0.33,-0.42860000000000004,"Jan 15, 20",0.38743299999999997
69,2020-01-16,78.4,78.81,78.93,78.02,108829016,313.59,315.24,315.7,312.09,27207254,0.98,1.2526,"Jan 16, 20",0.404813
70,2020-01-17,79.07,79.68,79.69,78.75,137816468,316.27,318.73,318.74,315.0,34454117,0.87,1.1071,"Jan 17, 20",0.420365
71,2020-01-21,79.3,79.14,79.76,79.0,110843256,317.19,316.57,319.02,316.0,27710814,-0.54,-0.6777000000000001,"Jan 21, 20",0.41074000000000005
72,2020-01-22,79.65,79.43,80.0,79.33,101832460,318.58,317.7,319.99,317.31,25458115,0.28,0.357,"Jan 22, 20",0.415775
73,2020-01-23,79.48,79.81,79.89,78.91,104471972,317.92,319.23,319.56,315.65,26117993,0.38,0.48160000000000003,"Jan 23, 20",0.42259399999999997
74,2020-01-24,80.06,79.58,80.83,79.38,146537520,320.25,318.31,323.33,317.52,36634380,-0.23,-0.2882,"Jan 24, 20",0.418494
75,2020-01-27,77.52,77.24,77.94,76.22,161940020,310.06,308.95,311.77,304.88,40485005,-2.34,-2.9405,"Jan 27, 20",0.376783
76,2020-01-28,78.15,79.42,79.6,78.05,162233944,312.6,317.69,318.4,312.19,40558486,2.19,2.8289,"Jan 28, 20",0.41573099999999996
77,2020-01-29,81.11,81.09,81.96,80.35,216599712,324.45,324.34,327.85,321.38,54149928,1.6600000000000001,2.0932,"Jan 29, 20",0.44536499999999996
78,2020-01-30,80.14,80.97,81.02,79.69,126743232,320.54,323.87,324.09,318.75,31685808,-0.12,-0.1449,"Jan 30, 20",0.44327099999999997
79,2020-01-31,80.23,77.38,80.67,77.07,199588384,320.93,309.51,322.68,308.29,49897096,-3.59,-4.4339,"Jan 31, 20",0.379278
80,2020-02-03,76.08,77.17,78.37,75.56,173985604,304.3,308.66,313.49,302.22,43496401,-0.21,-0.2746,"Feb 3, 20",0.37549000000000005
81,2020-02-04,78.83,79.71,79.91,78.41,136616536,315.31,318.85,319.64,313.63,34154134,2.55,3.3014,"Feb 4, 20",0.4209
82,2020-02-05,80.88,80.36,81.19,79.74,118826872,323.52,321.45,324.76,318.95,29706718,0.65,0.8154,"Feb 5, 20",0.43248699999999995
83,2020-02-06,80.64,81.3,81.31,80.07,105425540,322.57,325.21,325.22,320.26,26356385,0.9400000000000001,1.1697,"Feb 6, 20",0.449242
84,2020-02-07,80.59,80.01,80.85,79.5,117684048,322.37,320.03,323.4,318.0,29421012,-1.29,-1.5928,"Feb 7, 20",0.42615899999999995
85,2020-02-10,78.55,80.39,80.39,78.46,109348860,314.18,321.55,321.55,313.85,27337215,0.38,0.47500000000000003,"Feb 10, 20",0.432932
86,2020-02-11,80.9,79.9,80.98,79.68,94323120,323.6,319.61,323.9,318.71,23580780,-0.48,-0.6033000000000001,"Feb 11, 20",0.42428699999999997
87,2020-02-12,80.37,81.8,81.81,80.37,113730292,321.47,327.2,327.22,321.47,28432573,1.9,2.3748,"Feb 12, 20",0.458111
88,2020-02-13,81.05,81.22,81.56,80.84,94747568,324.19,324.87,326.22,323.35,23686892,-0.58,-0.7121000000000001,"Feb 13, 20",0.447727
89,2020-02-14,81.19,81.24,81.5,80.71,80113788,324.74,324.95,325.98,322.85,20028447,0.02,0.0246,"Feb 14, 20",0.448084
90,2020-02-18,78.84,79.75,79.94,78.65,152762180,315.36,319.0,319.75,314.61,38190545,-1.49,-1.8311000000000002,"Feb 18, 20",0.42156899999999997
91,2020-02-19,80.0,80.91,81.14,80.0,93983964,320.0,323.62,324.57,320.0,23495991,1.16,1.4483000000000001,"Feb 19, 20",0.44215699999999997
92,2020-02-20,80.66,80.08,81.16,79.55,100565956,322.63,320.3,324.65,318.21,25141489,-0.8300000000000001,-1.0259,"Feb 20, 20",0.42736199999999996
93,2020-02-21,79.66,78.26,80.11,77.63,129705660,318.62,313.05,320.45,310.5,32426415,-1.81,-2.2635,"Feb 21, 20",0.395053
94,2020-02-24,74.32,74.55,76.05,72.31,222195312,297.26,298.18,304.18,289.23,55548828,-3.7199999999999998,-4.75,"Feb 24, 20",0.32878799999999997
95,2020-02-25,75.24,72.02,75.63,71.53,230673456,300.95,288.08,302.53,286.13,57668364,-2.52,-3.3872,"Feb 25, 20",0.283779
96,2020-02-26,71.63,73.16,74.47,71.63,198713724,286.53,292.65,297.88,286.5,49678431,1.1400000000000001,1.5864,"Feb 26, 20",0.30414399999999997
97,2020-02-27,70.28,68.38,71.5,68.24,320605524,281.1,273.52,286.0,272.96,80151381,-4.78,-6.5368,"Feb 27, 20",0.21889499999999998
98,2020-02-28,64.32,68.34,69.6,64.09,426884920,257.26,273.36,278.41,256.37,106721230,-0.04,-0.0585,"Feb 28, 20",0.218182
99,2020-03-02,70.57,74.7,75.36,69.43,341397356,282.28,298.81,301.44,277.72,85349339,6.36,9.3101,"Mar 2, 20",0.331595
100,2020-03-03,75.92,72.33,76.0,71.45,319475408,303.67,289.32,304.0,285.8,79868852,-2.37,-3.1759,"Mar 3, 20",0.289305
101,2020-03-04,74.11,75.69,75.85,73.28,219178272,296.44,302.74,303.4,293.13,54794568,3.36,4.6385000000000005,"Mar 4, 20",0.349109
102,2020-03-05,73.88,73.23,74.89,72.85,187572876,295.52,292.92,299.55,291.41,46893219,-2.45,-3.2437,"Mar 5, 20",0.305348
103,2020-03-06,70.5,72.26,72.71,70.31,226176984,282.0,289.03,290.82,281.23,56544246,-0.97,-1.328,"Mar 6, 20",0.288012
104,2020-03-09,65.94,66.54,69.52,65.75,286744832,263.75,266.17,278.09,263.0,71686208,-5.71,-7.9092,"Mar 9, 20",0.186141
105,2020-03-10,69.29,71.34,71.61,67.34,285290080,277.14,285.34,286.44,269.37,71322520,4.79,7.2022,"Mar 10, 20",0.271569
106,2020-03-11,69.35,68.86,70.31,67.97,256379880,277.39,275.43,281.22,271.86,64094970,-2.48,-3.473,"Mar 11, 20",0.227406
107,2020-03-12,63.99,62.06,67.5,62.0,418474068,255.94,248.23,270.0,248.0,104618517,-6.8,-9.8755,"Mar 12, 20",0.106194
108,2020-03-13,66.22,69.49,69.98,63.24,370732128,264.89,277.97,279.92,252.95,92683032,7.44,11.9808,"Mar 13, 20",0.238725
109,2020-03-16,60.49,60.55,64.77,60.0,322423460,241.95,242.21,259.08,240.0,80605865,-8.94,-12.8647,"Mar 16, 20",0.079367
110,2020-03-17,61.88,63.22,64.4,59.6,324055860,247.51,252.86,257.61,238.4,81013965,2.66,4.397,"Mar 17, 20",0.126827
